"fy","month","state","state_abb","plan","plan_abb","gov_type2","return","arr","mva","mean_arr","latest_arr","avg_return","rolling_5","rolling_10","rolling_15"
2022,12,"Massachusetts","MA","Boston Retirement System","Boston RS","Local Plans",-0.102,0.069,8532760000,0.0763333333333333,0.069,NA,0.046920405830452,0.0647712291208609,0.070584905650912
2023,12,"Massachusetts","MA","Boston Retirement System","Boston RS","Local Plans",0.1047,0.069,9586431000,0.0763333333333333,0.069,NA,0.0786052299966216,0.0611855340609766,0.0709158690140044
2024,12,"Massachusetts","MA","Boston Retirement System","Boston RS","Local Plans",NA,0.069,9586431000,0.0763333333333333,0.069,NA,NA,NA,NA
2001,6,"Vermont","VT","Burlington Employees Retirement System","Burlington (VT) ERS","Local Plans",-0.09906,0.08,101463700,0.0777916666666667,0.071,0.044717511579289,NA,NA,NA
2002,6,"Vermont","VT","Burlington Employees Retirement System","Burlington (VT) ERS","Local Plans",-0.0981,0.08,88805961,0.0777916666666667,0.071,0.044717511579289,NA,NA,NA
2003,6,"Vermont","VT","Burlington Employees Retirement System","Burlington (VT) ERS","Local Plans",-0.00134,0.08,85452070,0.0777916666666667,0.071,0.044717511579289,NA,NA,NA
2004,6,"Vermont","VT","Burlington Employees Retirement System","Burlington (VT) ERS","Local Plans",0.1363,0.08,95098734,0.0777916666666667,0.071,0.044717511579289,NA,NA,NA
2005,6,"Vermont","VT","Burlington Employees Retirement System","Burlington (VT) ERS","Local Plans",0.07347,0.08,100505410,0.0777916666666667,0.071,0.044717511579289,-0.00204498272026377,NA,NA
2006,6,"Vermont","VT","Burlington Employees Retirement System","Burlington (VT) ERS","Local Plans",0.08979,0.08,108404760,0.0777916666666667,0.071,0.044717511579289,0.0366695824030809,NA,NA
2007,6,"Vermont","VT","Burlington Employees Retirement System","Burlington (VT) ERS","Local Plans",0.16889,0.08,127790810,0.0777916666666667,0.071,0.044717511579289,0.0918510775986723,NA,NA
2008,6,"Vermont","VT","Burlington Employees Retirement System","Burlington (VT) ERS","Local Plans",-0.0769,0.08,118474650,0.0777916666666667,0.071,0.044717511579289,0.0748048716080933,NA,NA
2009,6,"Vermont","VT","Burlington Employees Retirement System","Burlington (VT) ERS","Local Plans",-0.195,0.08,95164359,0.0777916666666667,0.071,0.044717511579289,0.00320618487051494,NA,NA
2010,6,"Vermont","VT","Burlington Employees Retirement System","Burlington (VT) ERS","Local Plans",0.187,0.08,111790020,0.0777916666666667,0.071,0.044717511579289,0.023581345517093,0.0106869640757845,NA
2011,6,"Vermont","VT","Burlington Employees Retirement System","Burlington (VT) ERS","Local Plans",0.207,0.08,134081080,0.0777916666666667,0.071,0.044717511579289,0.0447087994260478,0.0406814281199721,NA
2012,6,"Vermont","VT","Burlington Employees Retirement System","Burlington (VT) ERS","Local Plans",0.019,0.08,135534660,0.0777916666666667,0.071,0.044717511579289,0.0164250525592322,0.0534632356827098,NA
2013,6,"Vermont","VT","Burlington Employees Retirement System","Burlington (VT) ERS","Local Plans",0.082,0.08,145658670,0.0777916666666667,0.071,0.044717511579289,0.0492308775271986,0.0619408922382958,NA
2014,6,"Vermont","VT","Burlington Employees Retirement System","Burlington (VT) ERS","Local Plans",0.1362,0.08,164174230,0.0777916666666667,0.071,0.044717511579289,0.12409455400063,0.061931546264963,NA
2015,6,"Vermont","VT","Burlington Employees Retirement System","Burlington (VT) ERS","Local Plans",-0.0015,0.08,161715860,0.0777916666666667,0.071,0.044717511579289,0.0858811990185793,0.0542711884345277,0.0351545944540514
2016,6,"Vermont","VT","Burlington Employees Retirement System","Burlington (VT) ERS","Local Plans",-0.0015,0.08,156789380,0.0777916666666667,0.071,0.044717511579289,0.0454673483154695,0.0450880050492339,0.0422742955643147
2017,6,"Vermont","VT","Burlington Employees Retirement System","Burlington (VT) ERS","Local Plans",-0.013,0.08,175471300,0.0777916666666667,0.071,0.044717511579289,0.0388170459610742,0.0275600569019852,0.0485583711155282
2018,6,"Vermont","VT","Burlington Employees Retirement System","Burlington (VT) ERS","Local Plans",0.1025,0.075,189010050,0.0777916666666667,0.071,0.044717511579289,0.0427239163946256,0.0459723370229874,0.0554962012998057
2019,6,"Vermont","VT","Burlington Employees Retirement System","Burlington (VT) ERS","Local Plans",0.052,0.074,194713450,0.0777916666666667,0.071,0.044717511579289,0.0267897527470986,0.0743410860460785,0.0500859720565039
2020,6,"Vermont","VT","Burlington Employees Retirement System","Burlington (VT) ERS","Local Plans",0.0525,0.073,194588160,0.0777916666666667,0.071,0.044717511579289,0.0376630036261736,0.0614983497654671,0.0487057994127316
2021,6,"Vermont","VT","Burlington Employees Retirement System","Burlington (VT) ERS","Local Plans",0.311,0.072,248934920,0.0777916666666667,0.071,0.044717511579289,0.0957393478009432,0.0703082314877215,0.0617061374358117
2022,6,"Vermont","VT","Burlington Employees Retirement System","Burlington (VT) ERS","Local Plans",-0.132,0.071,209424800,0.0777916666666667,0.071,0.044717511579289,0.0679422584318479,0.0532789859107463,0.0408482108784702
2023,6,"Vermont","VT","Burlington Employees Retirement System","Burlington (VT) ERS","Local Plans",0.102,0.071,223654238,0.0777916666666667,0.071,0.044717511579289,0.067845375344121,0.0552098899663094,0.0532131096834778
2024,6,"Vermont","VT","Burlington Employees Retirement System","Burlington (VT) ERS","Local Plans",0.128,0.071,244921331,0.0777916666666667,0.071,0.044717511579289,0.0828468639594189,0.0544458562239518,0.0771688956465164
2001,6,"California","CA","California State Teachers Retirement System","California Teachers","State Plans",-0.0912,0.08,103137630000,0.07525,0.071,0.0634846899647401,NA,NA,NA
2002,6,"California","CA","California State Teachers Retirement System","California Teachers","State Plans",-0.061,0.08,96709460000,0.07525,0.071,0.0634846899647401,NA,NA,NA
2003,6,"California","CA","California State Teachers Retirement System","California Teachers","State Plans",0.038,0.08,100372328000,0.07525,0.071,0.0634846899647401,NA,NA,NA
2004,6,"California","CA","California State Teachers Retirement System","California Teachers","State Plans",0.17,0.08,116061289000,0.07525,0.071,0.0634846899647401,NA,NA,NA
2005,6,"California","CA","California State Teachers Retirement System","California Teachers","State Plans",0.12,0.08,129523633000,0.07525,0.071,0.0634846899647401,0.0302604533584083,NA,NA
2006,6,"California","CA","California State Teachers Retirement System","California Teachers","State Plans",0.12,0.08,144212376000,0.07525,0.071,0.0634846899647401,0.0742292426888023,NA,NA
2007,6,"California","CA","California State Teachers Retirement System","California Teachers","State Plans",0.21,0.08,172377918000,0.07525,0.071,0.0634846899647401,0.130110542041503,NA,NA
2008,6,"California","CA","California State Teachers Retirement System","California Teachers","State Plans",-0.055,0.08,161498193000,0.07525,0.071,0.0634846899647401,0.109092624376684,NA,NA
2009,6,"California","CA","California State Teachers Retirement System","California Teachers","State Plans",-0.25,0.08,118430073000,0.07525,0.071,0.0634846899647401,0.0147122362939922,NA,NA
2010,6,"California","CA","California State Teachers Retirement System","California Teachers","State Plans",0.13,0.0775,129768107000,0.07525,0.071,0.0634846899647401,0.0165177855040597,0.0233660510981875,NA
2011,6,"California","CA","California State Teachers Retirement System","California Teachers","State Plans",0.24,0.075,155345815000,0.07525,0.071,0.0634846899647401,0.0374226224827678,0.0556655332527887,NA
2012,6,"California","CA","California State Teachers Retirement System","California Teachers","State Plans",0.006,0.075,151318057000,0.07525,0.071,0.0634846899647401,-0.000188250262981859,0.0629665086138722,NA
2013,6,"California","CA","California State Teachers Retirement System","California Teachers","State Plans",0.14,0.075,166348909000,0.07525,0.071,0.0634846899647401,0.0380370261732721,0.0729767982387515,NA
2014,6,"California","CA","California State Teachers Retirement System","California Teachers","State Plans",0.19,0.075,190474016000,0.07525,0.071,0.0634846899647401,0.138439574791678,0.0747969886552742,NA
2015,6,"California","CA","California State Teachers Retirement System","California Teachers","State Plans",0.039,0.075,191822336000,0.07525,0.071,0.0634846899647401,0.119482748113571,0.0667586999984606,0.054451167985236
2016,6,"California","CA","California State Teachers Retirement System","California Teachers","State Plans",0.013,0.0725,189113487000,0.07525,0.071,0.0634846899647401,0.0751150893592587,0.0561007127513349,0.0621093058645592
2017,6,"California","CA","California State Teachers Retirement System","California Teachers","State Plans",0.13,0.07,210289900000,0.07525,0.071,0.0634846899647401,0.100401186076972,0.0489013467739985,0.0753010521655901
2018,6,"California","CA","California State Teachers Retirement System","California Teachers","State Plans",0.09,0.07,224868635000,0.07525,0.071,0.0634846899647401,0.0905746015137319,0.0639815863892643,0.0788109528054846
2019,6,"California","CA","California State Teachers Retirement System","California Teachers","State Plans",0.066,0.07,238861888000,0.07525,0.071,0.0634846899647401,0.0668354237811164,0.102056108472738,0.0721365537813599
2020,6,"California","CA","California State Teachers Retirement System","California Teachers","State Plans",0.041,0.07,246983744000,0.07525,0.071,0.0634846899647401,0.067245824142522,0.093052280599516,0.0669210500038473
2021,6,"California","CA","California State Teachers Retirement System","California Teachers","State Plans",0.27,0.07,310293453000,0.07525,0.071,0.0634846899647401,0.116614644381333,0.0956684047529588,0.0758985699252204
2022,6,"California","CA","California State Teachers Retirement System","California Teachers","State Plans",-0.024,0.07,300056285000,0.07525,0.071,0.0634846899647401,0.0843702501775805,0.0923563106614951,0.060593497369752
2023,6,"California","CA","California State Teachers Retirement System","California Teachers","State Plans",0.065,0.07,316918510000,0.07525,0.071,0.0634846899647401,0.079349801819611,0.0849476853808888,0.0690798565158488
2024,6,"California","CA","California State Teachers Retirement System","California Teachers","State Plans",0.082,0.071,341017676000,0.07525,0.071,0.0634846899647401,0.0825705970301187,0.074674211868696,0.0955222769970046
2001,6,"West Virginia","WV","Charleston Policemen's Pension and Relief Fund (PPRF)","Charleston (WV) Police","Local Plans",NA,0.0625,NA,0.056095,0.07,NA,NA,NA,NA
2002,6,"West Virginia","WV","Charleston Policemen's Pension and Relief Fund (PPRF)","Charleston (WV) Police","Local Plans",NA,0.0625,NA,0.056095,0.07,NA,NA,NA,NA
2003,6,"West Virginia","WV","Charleston Policemen's Pension and Relief Fund (PPRF)","Charleston (WV) Police","Local Plans",NA,0.0625,NA,0.056095,0.07,NA,NA,NA,NA
2004,6,"West Virginia","WV","Charleston Policemen's Pension and Relief Fund (PPRF)","Charleston (WV) Police","Local Plans",NA,0.0625,NA,0.056095,0.07,NA,NA,NA,NA
2005,6,"West Virginia","WV","Charleston Policemen's Pension and Relief Fund (PPRF)","Charleston (WV) Police","Local Plans",0.02715,0.065,14028062,0.056095,0.07,NA,NA,NA,NA
2006,6,"West Virginia","WV","Charleston Policemen's Pension and Relief Fund (PPRF)","Charleston (WV) Police","Local Plans",0.0435,0.065,14154348,0.056095,0.07,NA,NA,NA,NA
2007,6,"West Virginia","WV","Charleston Policemen's Pension and Relief Fund (PPRF)","Charleston (WV) Police","Local Plans",0.1392,0.07,15582123,0.056095,0.07,NA,NA,NA,NA
2008,6,"West Virginia","WV","Charleston Policemen's Pension and Relief Fund (PPRF)","Charleston (WV) Police","Local Plans",-0.06082,0.07,14092300,0.056095,0.07,NA,NA,NA,NA
2009,6,"West Virginia","WV","Charleston Policemen's Pension and Relief Fund (PPRF)","Charleston (WV) Police","Local Plans",-0.16887,0.07,10887968,0.056095,0.07,NA,-0.00955852354921227,NA,NA
2010,6,"West Virginia","WV","Charleston Policemen's Pension and Relief Fund (PPRF)","Charleston (WV) Police","Local Plans",0.08948,0.05,10911700,0.056095,0.07,NA,0.00218038242635554,NA,NA
2011,6,"West Virginia","WV","Charleston Policemen's Pension and Relief Fund (PPRF)","Charleston (WV) Police","Local Plans",0.14001,0.05,11449507,0.056095,0.07,NA,0.0200680351454086,NA,NA
2012,6,"West Virginia","WV","Charleston Policemen's Pension and Relief Fund (PPRF)","Charleston (WV) Police","Local Plans",-0.01586,0.05,11781046,0.056095,0.07,NA,-0.00934936957394217,NA,NA
2013,6,"West Virginia","WV","Charleston Policemen's Pension and Relief Fund (PPRF)","Charleston (WV) Police","Local Plans",0.06083,0.04789,13148515,0.056095,0.07,NA,0.015079160226307,NA,NA
2014,6,"West Virginia","WV","Charleston Policemen's Pension and Relief Fund (PPRF)","Charleston (WV) Police","Local Plans",0.1065,0.04789,15242762,0.056095,0.07,NA,0.074871143187039,0.031793081025705,NA
2015,6,"West Virginia","WV","Charleston Policemen's Pension and Relief Fund (PPRF)","Charleston (WV) Police","Local Plans",0.065,0.05,16082384,0.056095,0.07,NA,0.0699967849895577,0.0355335760736133,NA
2016,6,"West Virginia","WV","Charleston Policemen's Pension and Relief Fund (PPRF)","Charleston (WV) Police","Local Plans",0.0475,0.045,17122420,0.056095,0.07,NA,0.0520382905243046,0.0359298392810499,NA
2017,6,"West Virginia","WV","Charleston Policemen's Pension and Relief Fund (PPRF)","Charleston (WV) Police","Local Plans",0.1114,0.045,20042002,0.056095,0.07,NA,0.0779391577814799,0.0333736527593282,NA
2018,6,"West Virginia","WV","Charleston Policemen's Pension and Relief Fund (PPRF)","Charleston (WV) Police","Local Plans",0.0808,0.045,22407738,0.056095,0.07,NA,0.0819673543648203,0.0479897487384697,NA
2019,6,"West Virginia","WV","Charleston Policemen's Pension and Relief Fund (PPRF)","Charleston (WV) Police","Local Plans",0.0633,0.045,24603586,0.056095,0.07,NA,0.0733837998059219,0.0741272140560629,0.0454744401806744
2020,6,"West Virginia","WV","Charleston Policemen's Pension and Relief Fund (PPRF)","Charleston (WV) Police","Local Plans",0.018,0.045,26003721,0.056095,0.07,NA,0.0637379915254452,0.0668627985844645,0.0448509617242316
2021,6,"West Virginia","WV","Charleston Policemen's Pension and Relief Fund (PPRF)","Charleston (WV) Police","Local Plans",0.2442,0.045,33412867,0.056095,0.07,NA,0.100986270995848,0.076234042589808,0.057176570778775
2022,6,"West Virginia","WV","Charleston Policemen's Pension and Relief Fund (PPRF)","Charleston (WV) Police","Local Plans",-0.066,0.0525,32334039,0.056095,0.07,NA,0.0633523623149486,0.0706209179063908,0.0432714507676084
2023,6,"West Virginia","WV","Charleston Policemen's Pension and Relief Fund (PPRF)","Charleston (WV) Police","Local Plans",0.07,0.068,53982839,0.056095,0.07,NA,0.0612186862442925,0.0715428009922177,0.0523809690610046
2024,6,"West Virginia","WV","Charleston Policemen's Pension and Relief Fund (PPRF)","Charleston (WV) Police","Local Plans",NA,0.07,NA,0.056095,0.07,NA,NA,NA,NA
2001,6,"North Carolina","NC","Charlotte Firefighters' Retirement System","Charlotte (NC) Firefighters' RS","Local Plans",-0.0534,0.0775,239905000,0.0757291666666667,0.07,0.0619760623788967,NA,NA,NA
2002,6,"North Carolina","NC","Charlotte Firefighters' Retirement System","Charlotte (NC) Firefighters' RS","Local Plans",-0.0416,0.0775,224012000,0.0757291666666667,0.07,0.0619760623788967,NA,NA,NA
2003,6,"North Carolina","NC","Charlotte Firefighters' Retirement System","Charlotte (NC) Firefighters' RS","Local Plans",0.0407,0.0775,227137000,0.0757291666666667,0.07,0.0619760623788967,NA,NA,NA
2004,6,"North Carolina","NC","Charlotte Firefighters' Retirement System","Charlotte (NC) Firefighters' RS","Local Plans",0.1811,0.0775,263340000,0.0757291666666667,0.07,0.0619760623788967,NA,NA,NA
2005,6,"North Carolina","NC","Charlotte Firefighters' Retirement System","Charlotte (NC) Firefighters' RS","Local Plans",0.1054,0.0775,286021000,0.0757291666666667,0.07,0.0619760623788967,0.0427231074298842,NA,NA
2006,6,"North Carolina","NC","Charlotte Firefighters' Retirement System","Charlotte (NC) Firefighters' RS","Local Plans",0.1083,0.0775,311544000,0.0757291666666667,0.07,0.0619760623788967,0.0761360109486022,NA,NA
2007,6,"North Carolina","NC","Charlotte Firefighters' Retirement System","Charlotte (NC) Firefighters' RS","Local Plans",0.1871,0.0775,364151000,0.0757291666666667,0.07,0.0619760623788967,0.123195266428274,NA,NA
2008,6,"North Carolina","NC","Charlotte Firefighters' Retirement System","Charlotte (NC) Firefighters' RS","Local Plans",-0.0449,0.0775,342896000,0.0757291666666667,0.07,0.0619760623788967,0.104078423154032,NA,NA
2009,6,"North Carolina","NC","Charlotte Firefighters' Retirement System","Charlotte (NC) Firefighters' RS","Local Plans",-0.1923,0.0775,272104000,0.0757291666666667,0.07,0.0619760623788967,0.0232755688538582,NA,NA
2010,6,"North Carolina","NC","Charlotte Firefighters' Retirement System","Charlotte (NC) Firefighters' RS","Local Plans",0.109,0.0775,295685000,0.0757291666666667,0.07,0.0619760623788967,0.0239412107107597,0.0332894856030623,NA
2011,6,"North Carolina","NC","Charlotte Firefighters' Retirement System","Charlotte (NC) Firefighters' RS","Local Plans",0.2567,0.0775,366070000,0.0757291666666667,0.07,0.0619760623788967,0.0500014017009665,0.0629883912427824,NA
2012,6,"North Carolina","NC","Charlotte Firefighters' Retirement System","Charlotte (NC) Firefighters' RS","Local Plans",0.0066,0.0775,362392000,0.0757291666666667,0.07,0.0619760623788967,0.0159300420934887,0.0682171194573151,NA
2013,6,"North Carolina","NC","Charlotte Firefighters' Retirement System","Charlotte (NC) Firefighters' RS","Local Plans",0.1443,0.0775,407497000,0.0757291666666667,0.07,0.0619760623788967,0.0533240822678005,0.0784027039192741,NA
2014,6,"North Carolina","NC","Charlotte Firefighters' Retirement System","Charlotte (NC) Firefighters' RS","Local Plans",0.1822,0.0775,473575000,0.0757291666666667,0.07,0.0619760623788967,0.136711328082263,0.0785030972908711,NA
2015,6,"North Carolina","NC","Charlotte Firefighters' Retirement System","Charlotte (NC) Firefighters' RS","Local Plans",0.0434,0.0775,484575000,0.0757291666666667,0.07,0.0619760623788967,0.122933518475308,0.0722956245622288,0.0623460853193758
2016,6,"North Carolina","NC","Charlotte Firefighters' Retirement System","Charlotte (NC) Firefighters' RS","Local Plans",0.0047,0.075,475120000,0.0757291666666667,0.07,0.0619760623788967,0.0737792387438234,0.0618237640015462,0.0665732372042085
2017,6,"North Carolina","NC","Charlotte Firefighters' Retirement System","Charlotte (NC) Firefighters' RS","Local Plans",0.1231,0.075,519764000,0.0757291666666667,0.07,0.0619760623788967,0.0975575535294495,0.0559553454371071,0.0779090631097104
2018,6,"North Carolina","NC","Charlotte Firefighters' Retirement System","Charlotte (NC) Firefighters' RS","Local Plans",0.0916,0.075,551892000,0.0757291666666667,0.07,0.0619760623788967,0.0872565402331531,0.0701558285739279,0.0813459425267768
2019,6,"North Carolina","NC","Charlotte Firefighters' Retirement System","Charlotte (NC) Firefighters' RS","Local Plans",0.0421,0.075,558868000,0.0757291666666667,0.07,0.0619760623788967,0.0601705035449231,0.0977740300618297,0.0723572774493602
2020,6,"North Carolina","NC","Charlotte Firefighters' Retirement System","Charlotte (NC) Firefighters' RS","Local Plans",0.0312,0.0725,558040000,0.0757291666666667,0.07,0.0619760623788967,0.0576796082111999,0.089818280204635,0.0674013138523055
2021,6,"North Carolina","NC","Charlotte Firefighters' Retirement System","Charlotte (NC) Firefighters' RS","Local Plans",0.2448,0.0725,676330000,0.0757291666666667,0.07,0.0619760623788967,0.103994136597704,0.0887818806232619,0.0756984664052867
2022,6,"North Carolina","NC","Charlotte Firefighters' Retirement System","Charlotte (NC) Firefighters' RS","Local Plans",-0.1273,0.07,574603000,0.0757291666666667,0.07,0.0619760623788967,0.0496779554486462,0.0733508134696739,0.0538587219689877
2023,6,"North Carolina","NC","Charlotte Firefighters' Retirement System","Charlotte (NC) Firefighters' RS","Local Plans",0.0821,0.07,603781000,0.0757291666666667,0.07,0.0619760623788967,0.047844529915503,0.0673686421748414,0.0626664374494961
2024,6,"North Carolina","NC","Charlotte Firefighters' Retirement System","Charlotte (NC) Firefighters' RS","Local Plans",0.0984,0.07,646560000,0.0757291666666667,0.07,0.0619760623788967,0.0589295708450657,0.0595498555242329,0.0846700796460191
2001,6,"North Carolina","NC","Charlotte Law Enforcement Officers' Special Separation Allowance (LEOSSA)","Charlotte (NC) Law Enforcement","Local Plans",NA,0.0725,0,0.0508291666666667,0.0365,NA,NA,NA,NA
2002,6,"North Carolina","NC","Charlotte Law Enforcement Officers' Special Separation Allowance (LEOSSA)","Charlotte (NC) Law Enforcement","Local Plans",NA,0.0725,0,0.0508291666666667,0.0365,NA,NA,NA,NA
2003,6,"North Carolina","NC","Charlotte Law Enforcement Officers' Special Separation Allowance (LEOSSA)","Charlotte (NC) Law Enforcement","Local Plans",NA,0.0725,0,0.0508291666666667,0.0365,NA,NA,NA,NA
2004,6,"North Carolina","NC","Charlotte Law Enforcement Officers' Special Separation Allowance (LEOSSA)","Charlotte (NC) Law Enforcement","Local Plans",NA,0.0725,0,0.0508291666666667,0.0365,NA,NA,NA,NA
2005,6,"North Carolina","NC","Charlotte Law Enforcement Officers' Special Separation Allowance (LEOSSA)","Charlotte (NC) Law Enforcement","Local Plans",NA,0.0725,0,0.0508291666666667,0.0365,NA,NA,NA,NA
2006,6,"North Carolina","NC","Charlotte Law Enforcement Officers' Special Separation Allowance (LEOSSA)","Charlotte (NC) Law Enforcement","Local Plans",NA,0.0725,0,0.0508291666666667,0.0365,NA,NA,NA,NA
2007,6,"North Carolina","NC","Charlotte Law Enforcement Officers' Special Separation Allowance (LEOSSA)","Charlotte (NC) Law Enforcement","Local Plans",NA,0.0725,0,0.0508291666666667,0.0365,NA,NA,NA,NA
2008,6,"North Carolina","NC","Charlotte Law Enforcement Officers' Special Separation Allowance (LEOSSA)","Charlotte (NC) Law Enforcement","Local Plans",NA,0.0725,0,0.0508291666666667,0.0365,NA,NA,NA,NA
2009,6,"North Carolina","NC","Charlotte Law Enforcement Officers' Special Separation Allowance (LEOSSA)","Charlotte (NC) Law Enforcement","Local Plans",NA,0.0725,0,0.0508291666666667,0.0365,NA,NA,NA,NA
2010,6,"North Carolina","NC","Charlotte Law Enforcement Officers' Special Separation Allowance (LEOSSA)","Charlotte (NC) Law Enforcement","Local Plans",NA,0.05,0,0.0508291666666667,0.0365,NA,NA,NA,NA
2011,6,"North Carolina","NC","Charlotte Law Enforcement Officers' Special Separation Allowance (LEOSSA)","Charlotte (NC) Law Enforcement","Local Plans",NA,0.05,0,0.0508291666666667,0.0365,NA,NA,NA,NA
2012,6,"North Carolina","NC","Charlotte Law Enforcement Officers' Special Separation Allowance (LEOSSA)","Charlotte (NC) Law Enforcement","Local Plans",NA,0.05,0,0.0508291666666667,0.0365,NA,NA,NA,NA
2013,6,"North Carolina","NC","Charlotte Law Enforcement Officers' Special Separation Allowance (LEOSSA)","Charlotte (NC) Law Enforcement","Local Plans",NA,0.05,0,0.0508291666666667,0.0365,NA,NA,NA,NA
2014,6,"North Carolina","NC","Charlotte Law Enforcement Officers' Special Separation Allowance (LEOSSA)","Charlotte (NC) Law Enforcement","Local Plans",NA,0.05,0,0.0508291666666667,0.0365,NA,NA,NA,NA
2015,6,"North Carolina","NC","Charlotte Law Enforcement Officers' Special Separation Allowance (LEOSSA)","Charlotte (NC) Law Enforcement","Local Plans",NA,0.05,0,0.0508291666666667,0.0365,NA,NA,NA,NA
2016,6,"North Carolina","NC","Charlotte Law Enforcement Officers' Special Separation Allowance (LEOSSA)","Charlotte (NC) Law Enforcement","Local Plans",NA,0.0357,0,0.0508291666666667,0.0365,NA,NA,NA,NA
2017,6,"North Carolina","NC","Charlotte Law Enforcement Officers' Special Separation Allowance (LEOSSA)","Charlotte (NC) Law Enforcement","Local Plans",0.0931,0.0271,0,0.0508291666666667,0.0365,NA,NA,NA,NA
2018,6,"North Carolina","NC","Charlotte Law Enforcement Officers' Special Separation Allowance (LEOSSA)","Charlotte (NC) Law Enforcement","Local Plans",0.0658,0.0313,0,0.0508291666666667,0.0365,NA,NA,NA,NA
2019,6,"North Carolina","NC","Charlotte Law Enforcement Officers' Special Separation Allowance (LEOSSA)","Charlotte (NC) Law Enforcement","Local Plans",0.0573,0.0298,0,0.0508291666666667,0.0365,NA,NA,NA,NA
2020,6,"North Carolina","NC","Charlotte Law Enforcement Officers' Special Separation Allowance (LEOSSA)","Charlotte (NC) Law Enforcement","Local Plans",0.038,0.0279,0,0.0508291666666667,0.0365,NA,NA,NA,NA
2021,6,"North Carolina","NC","Charlotte Law Enforcement Officers' Special Separation Allowance (LEOSSA)","Charlotte (NC) Law Enforcement","Local Plans",0.1096,0.0221,0,0.0508291666666667,0.0365,NA,0.0724561123997327,NA,NA
2022,6,"North Carolina","NC","Charlotte Law Enforcement Officers' Special Separation Allowance (LEOSSA)","Charlotte (NC) Law Enforcement","Local Plans",-0.0413,0.0216,0,0.0508291666666667,0.0365,NA,0.0446819605254705,NA,NA
2023,6,"North Carolina","NC","Charlotte Law Enforcement Officers' Special Separation Allowance (LEOSSA)","Charlotte (NC) Law Enforcement","Local Plans",0.0389,0.0354,0,0.0508291666666667,0.0365,NA,0.0393545018330601,NA,NA
2024,6,"North Carolina","NC","Charlotte Law Enforcement Officers' Special Separation Allowance (LEOSSA)","Charlotte (NC) Law Enforcement","Local Plans",NA,0.0365,0,0.0508291666666667,0.0365,NA,NA,NA,NA
2001,12,"Illinois","IL","Chicago Laborers Retirement Board Employees Annuity Benefit Fund","Chicago Laborers","Local Plans",-0.006,0.08,NA,0.0760416666666667,0.0675,0.0562092182737148,NA,NA,NA
2002,12,"Illinois","IL","Chicago Laborers Retirement Board Employees Annuity Benefit Fund","Chicago Laborers","Local Plans",-0.075,0.08,NA,0.0760416666666667,0.0675,0.0562092182737148,NA,NA,NA
2003,12,"Illinois","IL","Chicago Laborers Retirement Board Employees Annuity Benefit Fund","Chicago Laborers","Local Plans",0.175,0.08,1552360971,0.0760416666666667,0.0675,0.0562092182737148,NA,NA,NA
2004,12,"Illinois","IL","Chicago Laborers Retirement Board Employees Annuity Benefit Fund","Chicago Laborers","Local Plans",0.1133,0.08,1637369008,0.0760416666666667,0.0675,0.0562092182737148,NA,NA,NA
2005,12,"Illinois","IL","Chicago Laborers Retirement Board Employees Annuity Benefit Fund","Chicago Laborers","Local Plans",0.0741,0.08,1659061366,0.0760416666666667,0.0675,0.0562092182737148,0.0525544746635167,NA,NA
2006,12,"Illinois","IL","Chicago Laborers Retirement Board Employees Annuity Benefit Fund","Chicago Laborers","Local Plans",0.1083,0.08,1739660664,0.0760416666666667,0.0675,0.0562092182737148,0.0757188320190134,NA,NA
2007,12,"Illinois","IL","Chicago Laborers Retirement Board Employees Annuity Benefit Fund","Chicago Laborers","Local Plans",0.0737,0.08,1782817538,0.0760416666666667,0.0675,0.0562092182737148,0.108273670480767,NA,NA
2008,12,"Illinois","IL","Chicago Laborers Retirement Board Employees Annuity Benefit Fund","Chicago Laborers","Local Plans",-0.2932,0.08,1188580489,0.0760416666666667,0.0675,0.0562092182737148,0.00114907530076569,NA,NA
2009,12,"Illinois","IL","Chicago Laborers Retirement Board Employees Annuity Benefit Fund","Chicago Laborers","Local Plans",0.2076,0.08,1332929412,0.0760416666666667,0.0675,0.0562092182737148,0.017562115696278,NA,NA
2010,12,"Illinois","IL","Chicago Laborers Retirement Board Employees Annuity Benefit Fund","Chicago Laborers","Local Plans",0.1505,0.08,1427214175,0.0760416666666667,0.0675,0.0562092182737148,0.0316427035406974,0.0420461332713293,NA
2011,12,"Illinois","IL","Chicago Laborers Retirement Board Employees Annuity Benefit Fund","Chicago Laborers","Local Plans",-0.0033,0.08,1313603639,0.0760416666666667,0.0675,0.0562092182737148,0.00997526075509558,0.042328838643338,NA
2012,12,"Illinois","IL","Chicago Laborers Retirement Board Employees Annuity Benefit Fund","Chicago Laborers","Local Plans",0.1381,0.075,1371077046,0.0760416666666667,0.0675,0.0562092182737148,0.0218101913882633,0.0641641468046767,NA
2013,12,"Illinois","IL","Chicago Laborers Retirement Board Employees Annuity Benefit Fund","Chicago Laborers","Local Plans",0.1582,0.075,1457672608,0.0760416666666667,0.0675,0.0562092182737148,0.127892305522153,0.0626327393377037,NA
2014,12,"Illinois","IL","Chicago Laborers Retirement Board Employees Annuity Benefit Fund","Chicago Laborers","Local Plans",0.0382,0.075,1388092890,0.0760416666666667,0.0675,0.0562092182737148,0.0943071024238886,0.0552371536123601,NA
