"fy","month","state","state_abb","plan","plan_abb","gov_type2","return","arr","mva","mean_arr","latest_arr","avg_return","rolling_5","rolling_10","rolling_15"
2003,9,"Alabama","AL","Alabama Judicial Retirement Fund (JRF)","Alabama Judicial Retirement Fund (JRF)","State Plans",0.1134,0.08,206671000,0.0783541666666667,0.074,0.0646248514325622,NA,NA,NA
2004,9,"Alabama","AL","Alabama Judicial Retirement Fund (JRF)","Alabama Judicial Retirement Fund (JRF)","State Plans",0.0991,0.08,221713000,0.0783541666666667,0.074,0.0646248514325622,NA,NA,NA
2005,9,"Alabama","AL","Alabama Judicial Retirement Fund (JRF)","Alabama Judicial Retirement Fund (JRF)","State Plans",0.1427,0.08,233412000,0.0783541666666667,0.074,0.0646248514325622,0.0254779596197454,NA,NA
2006,9,"Alabama","AL","Alabama Judicial Retirement Fund (JRF)","Alabama Judicial Retirement Fund (JRF)","State Plans",0.0912,0.08,246422000,0.0783541666666667,0.074,0.0646248514325622,0.0649312481871624,NA,NA
2007,9,"Alabama","AL","Alabama Judicial Retirement Fund (JRF)","Alabama Judicial Retirement Fund (JRF)","State Plans",0.1427,0.08,270933000,0.0783541666666667,0.074,0.0646248514325622,0.11761300659385,NA,NA
2008,9,"Alabama","AL","Alabama Judicial Retirement Fund (JRF)","Alabama Judicial Retirement Fund (JRF)","State Plans",-0.1458,0.08,221816000,0.0783541666666667,0.074,0.0646248514325622,0.0599200739988295,NA,NA
2009,9,"Alabama","AL","Alabama Judicial Retirement Fund (JRF)","Alabama Judicial Retirement Fund (JRF)","State Plans",0.0069,0.08,211015000,0.0783541666666667,0.074,0.0646248514325622,0.0415088005493609,NA,NA
2010,9,"Alabama","AL","Alabama Judicial Retirement Fund (JRF)","Alabama Judicial Retirement Fund (JRF)","State Plans",0.1073,0.08,221242000,0.0783541666666667,0.074,0.0646248514325622,0.0349742828004556,0.030215179360662,NA
2011,9,"Alabama","AL","Alabama Judicial Retirement Fund (JRF)","Alabama Judicial Retirement Fund (JRF)","State Plans",0.0045,0.08,210135000,0.0783541666666667,0.074,0.0646248514325622,0.0179786631244703,0.0411903228272155,NA
2012,9,"Alabama","AL","Alabama Judicial Retirement Fund (JRF)","Alabama Judicial Retirement Fund (JRF)","State Plans",0.1901,0.08,235881000,0.0783541666666667,0.074,0.0646248514325622,0.0262872200209463,0.0709770985396718,NA
2013,9,"Alabama","AL","Alabama Judicial Retirement Fund (JRF)","Alabama Judicial Retirement Fund (JRF)","State Plans",0.1405,0.08,256360000,0.0783541666666667,0.074,0.0646248514325622,0.0873667913620655,0.0735557228035955,NA
2014,9,"Alabama","AL","Alabama Judicial Retirement Fund (JRF)","Alabama Judicial Retirement Fund (JRF)","State Plans",0.1245,0.08,277096000,0.0783541666666667,0.074,0.0646248514325622,0.11165669814361,0.0760112612357802,NA
2015,9,"Alabama","AL","Alabama Judicial Retirement Fund (JRF)","Alabama Judicial Retirement Fund (JRF)","State Plans",-0.0037,0.08,263874000,0.0783541666666667,0.074,0.0646248514325622,0.0884178490514276,0.0613597329412945,0.0492617664579524
2016,9,"Alabama","AL","Alabama Judicial Retirement Fund (JRF)","Alabama Judicial Retirement Fund (JRF)","State Plans",0.1096,0.0775,282042000,0.0783541666666667,0.074,0.0646248514325622,0.110296463714019,0.0631359789807813,0.0637340655219847
2017,9,"Alabama","AL","Alabama Judicial Retirement Fund (JRF)","Alabama Judicial Retirement Fund (JRF)","State Plans",0.1188,0.0775,302578000,0.0783541666666667,0.074,0.0646248514325622,0.0966619038638772,0.06089118038531,0.0794711547690512
2018,9,"Alabama","AL","Alabama Judicial Retirement Fund (JRF)","Alabama Judicial Retirement Fund (JRF)","State Plans",0.0932,0.0765,317314000,0.0783541666666667,0.074,0.0646248514325622,0.0874107542811622,0.0873887725994373,0.0781543401484683
2019,9,"Alabama","AL","Alabama Judicial Retirement Fund (JRF)","Alabama Judicial Retirement Fund (JRF)","State Plans",0.0382,0.0765,312541000,0.0783541666666667,0.074,0.0646248514325622,0.0701827261354411,0.0907226025649472,0.0740648976079572
2020,9,"Alabama","AL","Alabama Judicial Retirement Fund (JRF)","Alabama Judicial Retirement Fund (JRF)","State Plans",0.0787,0.0765,318558000,0.0783541666666667,0.074,0.0646248514325622,0.0873266846566656,0.0878721300457272,0.0699457386235645
2021,9,"Alabama","AL","Alabama Judicial Retirement Fund (JRF)","Alabama Judicial Retirement Fund (JRF)","State Plans",0.2052,0.074,365329000,0.0783541666666667,0.074,0.0646248514325622,0.105448669714703,0.107869915108088,0.0770571242932148
2022,9,"Alabama","AL","Alabama Judicial Retirement Fund (JRF)","Alabama Judicial Retirement Fund (JRF)","State Plans",-0.1487,0.074,297549000,0.0783541666666667,0.074,0.0646248514325622,0.0466575644331397,0.0713680400799603,0.0561252635284886
2023,9,"Alabama","AL","Alabama Judicial Retirement Fund (JRF)","Alabama Judicial Retirement Fund (JRF)","State Plans",0.1466,0.074,323526000,0.0783541666666667,0.074,0.0646248514325622,0.0566887394759383,0.0719396901103815,0.0770575833210041
2024,9,"Alabama","AL","Alabama Judicial Retirement Fund (JRF)","Alabama Judicial Retirement Fund (JRF)","State Plans",0.2221,0.074,377167000,0.0783541666666667,0.074,0.0646248514325622,0.0917224051922108,0.0808989128367836,0.091055768330135
2001,9,"Alabama","AL","Alabama Teachers' Retirement System (TRS)","Alabama Teachers","State Plans",-0.0605,0.08,15814533000,0.0785,0.0745,0.0644616801021061,NA,NA,NA
2002,9,"Alabama","AL","Alabama Teachers' Retirement System (TRS)","Alabama Teachers","State Plans",-0.0781,0.08,14167952000,0.0785,0.0745,0.0644616801021061,NA,NA,NA
2003,9,"Alabama","AL","Alabama Teachers' Retirement System (TRS)","Alabama Teachers","State Plans",0.1598,0.08,15685620000,0.0785,0.0745,0.0644616801021061,NA,NA,NA
2004,9,"Alabama","AL","Alabama Teachers' Retirement System (TRS)","Alabama Teachers","State Plans",0.1071,0.08,16853149000,0.0785,0.0745,0.0644616801021061,NA,NA,NA
2005,9,"Alabama","AL","Alabama Teachers' Retirement System (TRS)","Alabama Teachers","State Plans",0.1126,0.08,18168523000,0.0785,0.0745,0.0644616801021061,0.0435131398390578,NA,NA
2006,9,"Alabama","AL","Alabama Teachers' Retirement System (TRS)","Alabama Teachers","State Plans",0.0882,0.08,19207803000,0.0785,0.0745,0.0644616801021061,0.0746333381191397,NA,NA
2007,9,"Alabama","AL","Alabama Teachers' Retirement System (TRS)","Alabama Teachers","State Plans",0.1746,0.08,21918750000,0.0785,0.0745,0.0644616801021061,0.127980380370121,NA,NA
2008,9,"Alabama","AL","Alabama Teachers' Retirement System (TRS)","Alabama Teachers","State Plans",-0.1536,0.08,18100387000,0.0785,0.0745,0.0644616801021061,0.0591075301224471,NA,NA
2009,9,"Alabama","AL","Alabama Teachers' Retirement System (TRS)","Alabama Teachers","State Plans",-0.0794,0.08,16120988000,0.0785,0.0745,0.0644616801021061,0.0207441034035902,NA,NA
2010,9,"Alabama","AL","Alabama Teachers' Retirement System (TRS)","Alabama Teachers","State Plans",0.0842,0.08,17037673000,0.0785,0.0745,0.0644616801021061,0.0154790060444943,0.0294006440828254,NA
2011,9,"Alabama","AL","Alabama Teachers' Retirement System (TRS)","Alabama Teachers","State Plans",0.0181,0.08,16752218000,0.0785,0.0745,0.0644616801021061,0.00204515480291545,0.0377047410761731,NA
2012,9,"Alabama","AL","Alabama Teachers' Retirement System (TRS)","Alabama Teachers","State Plans",0.183,0.08,18950126000,0.0785,0.0745,0.0644616801021061,0.00347427183877391,0.0639075574693182,NA
2013,9,"Alabama","AL","Alabama Teachers' Retirement System (TRS)","Alabama Teachers","State Plans",0.1493,0.08,20820372000,0.0785,0.0745,0.0644616801021061,0.0667871910383866,0.0629404249848289,NA
2014,9,"Alabama","AL","Alabama Teachers' Retirement System (TRS)","Alabama Teachers","State Plans",0.1213,0.08,22441307000,0.0785,0.0745,0.0644616801021061,0.109706073011159,0.064295978822289,NA
2015,9,"Alabama","AL","Alabama Teachers' Retirement System (TRS)","Alabama Teachers","State Plans",0.0104,0.08,21747731000,0.0785,0.0745,0.0644616801021061,0.0941698654512146,0.054090379147935,0.0505527735259903
2016,9,"Alabama","AL","Alabama Teachers' Retirement System (TRS)","Alabama Teachers","State Plans",0.1041,0.0775,22936298000,0.0785,0.0745,0.0644616801021061,0.112060318572785,0.0556205066568409,0.0619204443539612
2017,9,"Alabama","AL","Alabama Teachers' Retirement System (TRS)","Alabama Teachers","State Plans",0.1177,0.0775,24651457000,0.0785,0.0745,0.0644616801021061,0.0995030677720954,0.0503918508428658,0.0756428079598217
2018,9,"Alabama","AL","Alabama Teachers' Retirement System (TRS)","Alabama Teachers","State Plans",0.0942,0.077,25935433000,0.0785,0.0745,0.0644616801021061,0.0887523519498905,0.0777138132514867,0.0714756803470264
2019,9,"Alabama","AL","Alabama Teachers' Retirement System (TRS)","Alabama Teachers","State Plans",0.0263,0.077,25619448000,0.0785,0.0745,0.0644616801021061,0.0696448574436963,0.0894913465789553,0.066075959775459
2020,9,"Alabama","AL","Alabama Teachers' Retirement System (TRS)","Alabama Teachers","State Plans",0.0562,0.077,25946389000,0.0785,0.0745,0.0644616801021061,0.0791707674414155,0.0866444374358419,0.0623850660884959
2021,9,"Alabama","AL","Alabama Teachers' Retirement System (TRS)","Alabama Teachers","State Plans",0.2262,0.0745,30561930000,0.0785,0.0745,0.0644616801021061,0.102048614856795,0.107043148987583,0.0708750410378978
2022,9,"Alabama","AL","Alabama Teachers' Retirement System (TRS)","Alabama Teachers","State Plans",-0.1318,0.0745,25580871000,0.0785,0.0745,0.0644616801021061,0.047754800114675,0.0733171092454568,0.0495120973034089
