fye,Nevada_PERS,Montgomery_County,link,Butler_County,link,Harvard,link,Yale,link
2023,9.30%,15.67%,https://www.montgomerycountypa.gov/ArchiveCenter/ViewFile/Item/6272,15.00%,https://www.butlercountypa.gov/ArchiveCenter/ViewFile/Item/123,2.90%,https://finance.harvard.edu/sites/g/files/omnuum12671/files/fad/files/fy23_harvard_financial_report.pdf ,1.80%,https://your.yale.edu/media/3134/download?inline
2024,12.10%,11.73%,https://www.montgomerycountypa.gov/ArchiveCenter/ViewFile/Item/6272,N/A,,9.60%,https://finance.harvard.edu/sites/g/files/omnuum12671/files/fad/files/fy24_harvard_financial_report.pdf ,5.70%,https://your.yale.edu/media/3134/download?inline
2025,,,,,,11.90%,https://finance.harvard.edu/sites/g/files/omnuum12671/files/2025-10/fy25-financial-report.pdf ,11.10%,https://your.yale.edu/media/3134/download?inline
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"Nevada PERS from APR. I copy pasted it mannualy. Steve, might be best to get it again from the actual data source.",,,,,,,,,
"* I listed the same ACFR as a source for many of the Butler & Montgomery County returns because there is a table called ""historical investment returns""  which shows past 10 year returns in each Val. ",,,,,,,,,
"For butler county, search for ""historical return""",,,,,,,,,
"For Mongomery County, search ""Annual money-weighted rate of return""",,,,,,,,,
