"Name","average_return_10_years"
"New Jersey Teachers’ Pension & Annuity Fund",0.0817443486341718
"New Mexico Educational Retirement Board",0.0861620584434508
"New Mexico Judicial Retirement System",0.0760621211253643
"New Mexico Public Employees Retirement Association",0.0767802968270281
"New Orleans Employees Retirement System",0.091665884017833
"New York State Teachers' Retirement System",0.093356540449574
"North Carolina Consolidated Judicial Retirement System",0.0622216578120449
"North Carolina Firemen’s and Rescue Squad Workers’ Pension Fund",0.0625615150588121
"North Carolina Local Government Retirement System",0.0622717063431866
"North Carolina National Guard Pension Fund",0.0611631478248276
"North Carolina Teachers' and State Employees' Retirement System",0.0623416548336753
"North Dakota Public Employees Retirement System",0.0622562021050044
"North Dakota Teachers' Fund for Retirement",0.0836526510070934
"Ohio School Employees Retirement System",0.0888341692988792
"Ohio State Teachers Retirement System",0.0930183578193633
"Oklahoma Firefighters Pension and Retirement System",0.0952066631590309
"Oklahoma Law Enforcement Retirement System",0.0732486951278588
"Oklahoma Municipal Employees Retirement Fund",0.0708067440398752
"Oklahoma Police Pension and Retirement System",0.079854498090981
"Oklahoma Public Employees Retirement System",0.0777328462162385
"Oklahoma Teachers Retirement System",0.093727303822777
"Oklahoma Uniform Retirement of Justices and Judges",0.0769431477447569
"Pennsylvania Public School Employees' Retirement System",0.0812759930566953
"Pennsylvania State Employees' Retirement System",0.0723544021838274
"Police & Firemens Retirement System Of New Jersey",0.0627272573417548
"Public Employees' Retirement System of Mississippi",0.0943734173603161
"Rhode Island Employees Retirement System",0.0815667251792718
"Rhode Island Municipal Employees Retirement System",0.0818663447206047
"Rhode Island State Police Retirement Benefits Trust",0.0818667608719847
"South Carolina Police Officers Retirement System",0.0771560060189636
"South Carolina Retirement System for Judges and Solicitors",0.0766585455963531
"South Carolina Retirement Systems",0.0777559719190135
"South Dakota Retirement System",0.0917871625535582
"State Police Retirement System of Louisiana",0.0821723515019857
"Teachers’ Retirement System of Louisiana",0.0943782425455897
"Tennessee Consolidated Retirement System, Public Employee Retirement System",0.086620543950322
"Tennessee Consolidated Retirement System, Teachers Pension Plan",0.086620543950322
"Texas Emergency Services Retirement System",0.0693000631978302
"Texas Employees Retirement System",0.086152411398488
"Texas Judicial Retirement System Plan 2",0.0858624524127993
"Texas Municipal Retirement System",0.0613745943037314
